,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
Wyethia glabra,SMOOTH MULE EARS,,http://www.flickr.com/search/?q=jrbp Wyethia glabra,SPEC,,167,,
"Xanthium spinosum
 (Nativity uncertain)",SPINY COCKLEBUR,,http://www.flickr.com/search/?q=jrbp Xanthium spinosum,DOC,"First reported by Dengler 10/6/1963; Bear Creek 2000, 2005; not reported since. Nodal spines present; lf w/white striation",802,,
Xanthium strumarium,COCKLEBUR,,http://www.flickr.com/search/?q=jrbp Xanthium strumarium,SPEC,Nodal spines 0,168,,
BALSAMINACEAE – TOUCH-ME-NOT FAMILY,,,,,,,,
*Impatiens balfourii,KASHMIR BALSAM,,http://www.flickr.com/search/?q=jrbp Impatiens,SPEC,,941,,
BERBERIDACEAE – BARBERRY FAMILY,,,,,,,,
Berberis pinnata ssp. pinnata,COAST BARBERRY,,http://www.flickr.com/search/?q=jrbp Berberis pinnata,SPEC,,169,,
BETULACEAE – BIRCH FAMILY,,,,,,,,
Alnus rhombifolia,WHITE ALDER,,http://www.flickr.com/search/?q=jrbp Alnus rhombifolia,SPEC,,170,,
Corylus cornuta ssp. californica (C. c. var. c.),CALIFORNIA HAZEL,,http://www.flickr.com/search/?q=jrbp Corylus cornuta,SPEC,,171,,
BORAGINACEAE – BORAGE/WATERLEAF FAMILY (includes HYDROPHYLLACEAE),,,,,,,,
Amsinckia intermedia (A. menziesii var. i.),COMMON FIDDLENECK,,http://www.flickr.com/search/?q=jrbp Amsinckia intermedia,SPEC,"Corolla orange, 7-11 mm (vs. A. menziesii)",172,,
Amsinckia menziesii (A. menziesii var. m.),"COMMON FIDDLENECK, SMALL-FLOWERED FIDDLENECK",,http://www.flickr.com/search/?q=jrbp Amsinckia menziesii,SPEC,"Corolla yellow to orange-yellow, 4-7 mm (vs. A. intermedia)",173,,
Cryptantha clevelandii var. florosa (C. c.),COASTAL CRYPTANTHA,,http://www.flickr.com/search/?q=jrbp Cryptantha clevelandii,SPEC,,174,,
Cryptantha flaccida,"PALE CRYPTANTHA, WEAK-STEMMED CRYPTANTHA ",,http://www.flickr.com/search/?q=jrbp Cryptantha flaccida,SPEC,"Calyx hairs recurved; nutlet 1, smooth. Serpentine",175,,
Cryptantha micromeres,MINUTE-FLOWERED CRYPTANTHA,,http://www.flickr.com/search/?q=jrbp Cryptantha micromeres,SPEC,"Nutlets dissimilar in fr, largest smooth, smaller with tubercles",177,,
Cryptantha microstachys,TEJON CRYPTANTHA,,http://www.flickr.com/search/?q=jrbp Cryptantha microstachys,SPEC,"Nutlets 1(2), smooth",178,,
Cryptantha torreyana var. pumila (C. t.),DWARF CRYPTANTHA,,http://www.flickr.com/search/?q=jrbp Cryptantha torreyana,SPEC,,180,,
Cynoglossum grande,GRAND HOUND'S TONGUE,,http://www.flickr.com/search/?q=jrbp Cynoglossum grande,SPEC,,181,,
Eriodictyon californicum,CALIFORNIA YERBA SANTA,,http://www.flickr.com/search/?q=jrbp Eriodictyon californicum,SPEC,,368,,
Heliotropium curassavicum var. oculatum (H. c.),"ALKALI HELIOTROPE, SEASIDE HELIOTROPE",,http://www.flickr.com/search/?q=jrbp Heliotropium curassavicum,SPEC,,182,,
*Myosotis latifolia,BROADLEAVED FORGET-ME-NOT,,http://www.flickr.com/search/?q=jrbp Myosotis latifolia,SPEC,,183,,
Nemophila heterophylla,VARIABLE-LEAVED NEMOPHILA,,http://www.flickr.com/search/?q=jrbp Nemophila heterophylla,SPEC,Style 2-4 mm (vs N. parvifloa),369,,
Nemophila menziesii var. menziesii,BABY BLUE-EYES,,http://www.flickr.com/search/?q=jrbp Nemophila menziesii,SPEC,Springer 1935 “Abundant on moist grassy hillsides”; now known from a single loc.,371,,
Nemophila parviflora var. parviflora,WOODLAND NEMOPHILA,,http://www.flickr.com/search/?q=jrbp Nemophila parviflora,SPEC,Style < 2 mm (vs N. heterophylla),372,,
Pectocarya pusilla,LITTLE PECTOCARYA,,http://www.flickr.com/search/?q=jrbp Pectocarya pusilla,SPEC,,185,,
Phacelia distans,COMMON PHACELIA,,http://www.flickr.com/search/?q=jrbp Phacelia distans,SPEC,Annual,374,,
Phacelia imbricata var. imbricata (P. i. ssp. i.),IMBRICATE PHACELIA,,http://www.flickr.com/search/?q=jrbp Phacelia imbricata,SPEC,,375,,
Phacelia nemoralis var. nemoralis (P. n. ssp. n.),SHADE PHACELIA,,http://www.flickr.com/search/?q=jrbp Phacelia nemoralis,SPEC,,377,,
Phacelia rattanii,RATTAN'S PHACELIA,,http://www.flickr.com/search/?q=jrbp Phacelia rattanii,SPEC,,378,,
Pholistoma auritum var. auritum,FIESTA FLOWER,,http://www.flickr.com/search/?q=jrbp Pholistoma auritum,SPEC,,379,,
Plagiobothrys bracteatus,BRACTED POPCORNFLOWER,,http://www.flickr.com/search/?q=jrbp Plagiobothrys bracteatus,SPEC,"Collected twice in 1966 “NW end of serpentine meadow in road”; not reported since. Dengler fieldnotes 4/10/1954; ""Five plants only, all blooming by (south a few feet) of large serpentine boulder between quadrats 13 and 14 where water of rains previously stood. Soil now cracked with drought near edge of serp.”",186,,
« Plagiobothrys chorisianus var. hickmanii,HICKMAN'S POPCORNFLOWER,,http://www.flickr.com/search/?q=jrbp Plagiobothrys chorisianus,SPEC,RANK 4.2,187,,
Plagiobothrys nothofulvus,"RUSTY POPCORNFLOWER, FOOTHILL SNOWDROPS",,http://www.flickr.com/search/?q=jrbp Plagiobothrys nothofulvus,SPEC,,188,,
Plagiobothrys tenellus,PACIFIC POPCORNFLOWER,,http://www.flickr.com/search/?q=jrbp Plagiobothrys tenellus,SPEC,Collected 1904 and 1920; not reported since,189,,
BRASSICACEAE – MUSTARD FAMILY,,,,,,,,
« Arabis blepharophylla,COAST ROCKCRESS,,http://www.flickr.com/search/?q=jrbp Arabis blepharophylla,SPEC,RANK 4.3. Collected 4/2/1984 Area H serpentine; no other reports,803,,
Athysanus pusillus,DWARF ATHYSANUS,,http://www.flickr.com/search/?q=jrbp Athysanus pusillus,SPEC,"Springer 1935 “Infrequent,” which is still the case.",191,,
Barbarea orthoceras,AMERICAN WINTER CRESS,,http://www.flickr.com/search/?q=jrbp Barbarea orthoceras,SPEC,,192,,
*Brassica nigra,BLACK MUSTARD,,http://www.flickr.com/search/?q=jrbp Brassica nigra,SPEC,"Springer 1935 “Infrequent,” which is still the case. Terminal segment fr. w/o seed (vs. Hirschfeldia)",193,,
*Brassica rapa,"TURNIP, FIELD MUSTARD",,http://www.flickr.com/search/?q=jrbp Brassica rapa,SPEC,Uncommon,194,,
*Capsella bursa-pastoris,SHEPHERD'S PURSE,,http://www.flickr.com/search/?q=jrbp Capsella,SPEC,,195,,
Cardamine californica (C. californica var. c.),"MILK MAIDS, TOOTH WORT",,http://www.flickr.com/search/?q=jrbp Cardamine californica,SPEC,,196,,
*Cardamine hirsuta,HAIRY BITTER-CRESS,,http://www.flickr.com/search/?q=jrbp Cardamine hirsuta,SPEC,"Stamens usually 4, rarely 5 or 6; fr pedicels erect to ascending; fr often appressed to rachis, valves glabrous; seeds narrowly margined",943,,fr to abbr
Cardamine oligosperma,FEW-SEEDED BITTER-CRESS,,http://www.flickr.com/search/?q=jrbp Cardamine oligosperma,SPEC,"Stamens always 6; fruiting pedicels divaricate-ascending; fr often not appressed to rachis, valves sparsely pubescent or glabrous; seeds often not margined",197,,
Caulanthus lasiophyllus (Guillenia lasiophylla),CALIFORNIA MUSTARD,,http://www.flickr.com/search/?q=jrbp Caulanthus lasiophylla,SPEC,,201,,
* Draba verna,WHITLOW-GRASS,,http://www.flickr.com/search/?q=jrbp Draba verna,SPEC,,199,,
* Hirschfeldia incana,"PERENNIAL MUSTARD, SHORTPOD MUSTARD, SUMMER MUSTARD",,http://www.flickr.com/search/?q=jrbp Hirschfeldia incana,SPEC,Terminal segment fr. w/ 1-2 seeds (vs. Brassica nigra),202,,
W Iberis umbellata,GLOBE CANDYTUFT,,http://www.flickr.com/search/?q=jrbp Iberis,SPEC,Persistent at Caretaker's residence,203,,
* Lepidium didymum (Coronopus didymus),LESSER SWINE CRESS,,http://www.flickr.com/search/?q=jrbp Lepidium didymum,SPEC,Fr spectacle-shaped,862,,
*Lepidium latifolium,PERENNIAL PEPPERWEED,,http://www.flickr.com/search/?q=jrbp Lepidium latifolium,SPEC,Along Bear Ck.,911,,
"Lepidium nitidum
 (L. nitidum var. n.)",SHINING PEPPER GRASS,,http://www.flickr.com/search/?q=jrbp Lepidium nitidum,SPEC,,205,,
* Lepidium pinnatifidum,PINNATIFID PEPPERGRASS,,http://www.flickr.com/search/?q=jrbp Lepidium pinnatifidum,SPEC,,206,,
Lepidium strictum,WAYSIDE PEPPERGRASS,,http://www.flickr.com/search/?q=jrbp Lepidium strictum,SPEC,,207,,
* Lobularia maritima,SWEET ALYSSUM,,http://www.flickr.com/search/?q=jrbp Lobularia maritima,SPEC,,208,,
Nasturtium officinale (Rorippa nasturtium-aquaticum),WATER CRESS,,http://www.flickr.com/search/?q=jrbp Nasturtium-officinale,SPEC,,211,,
* Raphanus sativus,RADISH,,http://www.flickr.com/search/?q=jrbp Raphanus sativus,SPEC,,209,,
Rorippa curvisiliqua,WESTERN YELLOW CRESS,,http://www.flickr.com/search/?q=jrbp Rorippa curvisiliqua,SPEC,,210,,
Rorippa palustris ssp. palustris (R. p. var. occidentalis),MARSH YELLOW CRESS,,http://www.flickr.com/search/?q=jrbp Rorippa palustris,SPEC,Collected 1906 and 1977-1982 on dam and Corte Madera Cr delta; not reported since,212,,
* Sisymbrium officinale,HEDGE MUSTARD,,,SPEC$,POM273726 (1935); Dengler 1975; not reported since,214,,
Thysanocarpus curvipes ssp. curvipes,HAIRY FRINGEPOD,,http://www.flickr.com/search/?q=jrbp Thysanocarpus curvipes,SPEC,"fruit usually < 5 mm long, margins entire",215,,add to print list
Thysanocarpus curvipes ssp. elegans,,,http://www.flickr.com/search/?q=jrbp Thysanocarpus curvipes,SPEC,"fruit > 6 mm long, margins perforated",947,,add to print list
Tropidocarpum gracile,DOBIE POD,,http://www.flickr.com/search/?q=jrbp Tropidocarpum gracile,SPEC,Springer 1935 “Frequent on open hillsides.” Collected 1972 and 1977 “Near poppy knoll”; not reported since.,216,,
CALLITRICHACEAE (see PLANTAGINACEAE),,,,,,,,
CAMPANULACEAE – BELLFLOWER FAMILY,,,,,,,,
Campanula griffinii,GRIFFIN HAREBELL,,http://www.flickr.com/search/?q=jrbp Campanula griffinii,SPEC,,219,,
Githopsis specularoides,BLUECUP,,http://www.flickr.com/search/?q=jrbp Githopsis,DOC,Photo voucher 5/10/11 on Trail 9 opposite Q. wislizeni. Githopsis Notes,919,,
Heterocodon rariflorum,HETEROCODON,,http://www.flickr.com/search/?q=jrbp Heterocodon,SPEC,Seldom found with corolla present,220,,
Triodanis biflora,SMALL VENUS’ LOOKING-GLASS,,http://www.flickr.com/search/?q=jrbp Triodanis,SPEC,Collected in 1921 and 1979 “NW end of Searsville Lake”; Springer 1935 “one place – open spot between chaparral and wooded slope at top of hill above lake in May;” no recent reports,221,,
CAPRIFOLIACEAE – HONEYSUCKLE FAMILY (see also ADOXACEAE),,,,,,,,
"Lonicera hispidula
 (L. h. var. vacillans)",HAIRY HONEYSUCKLE,,http://www.flickr.com/search/?q=jrbp Lonicera hispidula,SPEC,"Creeping or climbing vine; lf adaxial surface soft-hairy, blue-green; distal lvs freq. perfoliate",223,,
Lonicera involucrata var. ledebourii,TWINBERRY,,,REP,"Springer 1935 “Rare, two shrubs on SF Cr bank flowering in late April and May”",225,,
Symphoricarpos albus var. laevigatus,SNOWBERRY,,http://www.flickr.com/search/?q=jrbp Symphoricarpos albus,SPEC,Erect shrub; lf adaxial surface glabrous,227,,
Symphoricarpos mollis,"CREEPING SNOWBERRY, TRIP VINE",,http://www.flickr.com/search/?q=jrbp Symphoricarpos mollis,SPEC,Creeping subshrub; lf adaxial surface hairy,228,,
CARYOPHYLLACEAE – PINK FAMILY,,,,,,,,
*Cerastium glomeratum,STICKY MOUSE-EAR CHICKWEED,,http://www.flickr.com/search/?q=jrbp Cerastium glomeratum,SPEC,,229,,
Minuartia douglasii,DOUGLAS' STITCHWORT,,http://www.flickr.com/search/?q=jrbp Minuartia douglasii,SPEC,,230,,
*Polycarpon tetraphyllum var. t. (P. t.),FOUR-LEAVED ALLSEED,,http://www.flickr.com/search/?q=jrbp%20Polycarpon,SPEC,,798,,
*Sagina apetala,DWARF PEARLWORT,,http://www.flickr.com/search/?q=jrbp Sagina apetala,SPEC,"Petals 0(4), if present minute",231,,
*Silene gallica,"SMALL-FLOWER CATCHFLY, WINDMILL PINK",,http://www.flickr.com/search/?q=jrbp Silene gallica,SPEC,,234,,
Silene laciniata ssp. californica (S. californica),CALIFORNIA PINK,,http://www.flickr.com/search/?q=jrbp Silene californica,SPEC,,233,,
*Spergula arvensis,"STICKWORT, STARWORT",,http://www.flickr.com/search/?q=jrbp Spergula arvensis,SPEC,,235,,
*Spergularia bocconi (S. bocconii),BOCCONE'S SAND-SPURREY,,http://www.flickr.com/search/?q=jrbp Spergularia bocconi,SPEC,Fls usu white. Zabel 2007 “North side of Caretaker Residence”,897,,
"Spergularia marina
 (S. salina)",SALTMARSH SAND-SPURREY,,,SPEC$,"POM151816 (1859); Porter 1962; Dengler Suppl. in April, 1977 “old bathing beach”",237,,
*Spergularia rubra,RED SAND-SPURREY,,http://www.flickr.com/search/?q=jrbp Spergularia rubra,SPEC,Petals pink. Many specimens of Spergularia for review,236,,
*Stellaria media,COMMON CHICKWEED,,http://www.flickr.com/search/?q=jrbp Stellaria media,SPEC,,238,,
Stellaria nitens,SHINING CHICKWEED,,http://www.flickr.com/search/?q=jrbp Stellaria nitens,SPEC,,239,,
CELASTRACEAE – STAFF-TREE FAMILY,,,,,,,,
Euonymus occidentalis var. occidentalis,WESTERN BURNING BUSH,,http://www.flickr.com/search/?q=jrbp Euonymus occidentalis,SPEC,Springer 1935 “Frequent along shady banks of the larger streams”; now uncommon,240,,
CERATOPHYLLACEAE – HORNWORT FAMILY (see Ceratophyllales),,,,,,,,
CHENOPODIACEAE – GOOSEFOOT FAMILY,,,,,,,,
"*Atriplex prostrata
 (A. triangularis)",FAT-HEN,,http://www.flickr.com/search/?q=jrbp Atriplex prostrata,SPEC,,242,,
*Chenopodium album,LAMB'S QUARTERS,,http://www.flickr.com/search/?q=jrbp Chenopodium album,REP,Dengler 1975; Corelli 2004 (photo),244,,
Chenopodium berlandieri var. sinuatum,PITTED GOOSEFOOT,,http://www.flickr.com/search/?q=jrbp Chenopodium berlandieri,SPEC,,936,,
Chenopodium californicum,CALIFORNIA GOOSEFOOT,,http://www.flickr.com/search/?q=jrbp Chenopodium californicum,SPEC,,247,,
Chenopodium rubrum var. humile (C. r.),RED PIGWEED,,http://www.flickr.com/search/?q=jrbp Chenopodium rubrum humile,SPEC,,250,,
*Chenopodium vulvaria,STINKING GOOSEFOOT,,http://www.flickr.com/search/?q=jrbp Chenopodium vulvaria,SPEC,,864,,
*Dysphania ambrosioides (Chenopodium a.),MEXICAN TEA,,http://www.flickr.com/search/?q=jrbp Dysphania ambrosioides,SPEC,,245,,
*Dysphania multifida (Chenopodium m.),CUT-LEAVED GOOSEFOOT,,http://www.flickr.com/search/?q=jrbp Dysphania multifida,SPEC,Collected in 1976 at Searsville Lake–Corte Madera Cr delta; not reported since,248,,
CISTACEAE – ROCK-ROSE FAMILY,,,,,,,,
*Cistus incanus (C. creticus),CRETAN ROCK-ROSE,,http://www.flickr.com/search/?q=jrbp Cistus incanus,SPEC,Collected in 1971; not reported since,251,,
Crocanthemum scoparium (Helianthemum s.),PEAK RUSH-ROSE,,http://www.flickr.com/search/?q=jrbp Helianthemum scoparium,SPEC,Springer 1935 “Frequent in chaparral areas blooming May and June (into October)”; now infrequent,252,,
CONVOLVULACEAE – MORNING-GLORY FAMILY (includes CUSCUTACEAE),,,,,,,,
Calystegia purpurata ssp. purpurata,PURPLE WESTERN MORNING-GLORY,,http://www.flickr.com/search/?q=jrbp Calystegia purpurata,SPEC,Calystegia occidentalis: the petiole and leaf sinus areas (as well as the peduncle tip) are consistently puberulent to tomentose vs. Calystegia purpurata: sparse hairs.,842,,
Calystegia subacaulis ssp. subacaulis,HILL MORNING-GLORY,,http://www.flickr.com/search/?q=jrbp Calystegia subacaulis,SPEC,,254,,
*Convolvulus arvensis,"BINDWEED, ORCHARD MORNING- GLORY",,http://www.flickr.com/search/?q=jrbp Convolvulus arvensis,SPEC,,255,,
Cuscuta californica var. californica,CHAPARRAL DODDER,,http://www.flickr.com/search/?q=jrbp cuscuta californica,SPEC,not reported since Dengler 1975,805,,
Cuscuta occidentalis (C. californica var. breviflora),WESTERN DODDER,,http://www.flickr.com/search/?q=jrbp cuscuta occidentalis,SPEC,Searsville Lab Landing; host Xanthium strumarium,920,,
Cuscuta subinclusa,CANYON DODDER,,http://www.flickr.com/search/?q=jrbp cuscuta subinclusa,SPEC,,264,,
CORNACEAE – DOGWOOD FAMILY,,,,,,,,
Cornus glabrata,BROWN DOGWOOD,,http://www.flickr.com/search/?q=jrbp Cornus glabrata,SPEC,,257,,
Cornus sericea ssp. sericea,AMERICAN DOGWOOD,,http://www.flickr.com/search/?q=jrbp Cornus sericea,SPEC,,258,,
CRASSULACEAE – STONECROP FAMILY,,,,,,,,
Crassula connata,PYGMY-WEED,,http://www.flickr.com/search/?q=jrbp Crassula connata,SPEC,Fl parts in 4s; pedicels >1.5 mm; lvs rounded,260,,
*Crassula tillaea,MOSS PYGMY-WEED,,http://www.flickr.com/search/?q=jrbp Crassula tillaea,SPEC,Fl parts in 3s; pedicels < .5 mm; lvs pointed,908,,
Sedum spathulifolium,BROADLEAF STONECROP,,http://www.flickr.com/search/?q=jrbp Sedum spathulifolium,SPEC,,262,,
CUCURBITACEAE – GOURD FAMILY,,,,,,,,
Marah fabacea (M. fabaceus),CALIFORNIA MAN-ROOT,,http://www.flickr.com/search/?q=jrbp Marah fabaceus,SPEC,,263,,
CUSCUTACEAE (see CONVOLVULACEAE),,,,,,,,
DATISCACEAE – DATISCA FAMILY,,,,,,,,
Datisca glomerata,DURANGO ROOT,,http://www.flickr.com/search/?q=jrbp Datisca glomerata,SPEC,Dioecious,265,,
DIPSACACEAE – TEASEL FAMILY,,,,,,,,
*Dipsacus sativus,FULLER'S TEASEL,,http://www.flickr.com/search/?q=jrbp Dipsacus,SPEC,,267,,
ELATINACEAE – WATERWORT FAMILY,,,,,,,,
Elatine brachysperma,SHORT-SEEDED WATERWORT,,http://www.flickr.com/search/?q=jrbp Elatine brachysperma,SPEC,Reported Dengler Suppl. 8/8/1980; collected in 1982; not reported since,268,,
ERICACEAE – HEATH FAMILY,,,,,,,,
Arbutus menziesii,PACIFIC MADRONE,,http://www.flickr.com/search/?q=jrbp Arbutus menziesii,SPEC,,269,,
Arctostaphylos canescens ssp. canescens,HOARY MANZANITA,,,SPEC,1900 collection; Uva-ursi tomentosa (Pursh) Abrams on original label. Annotated by Alice Eastwood. Not reported since,270,,add to print list
Arctostaphylos crustacea ssp. crustacea (A. tomentosa ssp. c.),BRITTLE-LEAVED MANZANITA,,http://www.flickr.com/search/?q=jrbp Arctostaphylos crustacea,SPEC,Includes plants with lower lf surface sparsely hairy hairy to fairly hairy (per. com. Tom Parker). Other workers consider both ssp. crustacea and crinita are present,272,,
! Arctostaphylos,MANZANITA,,http://www.flickr.com/search/?q=jrbp Arctostaphylos sp.,SPEC,"Collected in 2007; single persistent shrub, presumed garden escape",836,,
EUPHORBIACEAE – SPURGE FAMILY,,,,,,,,
Croton setigerus (Eremocarpus s.),TURKEY-MULLEIN,,http://www.flickr.com/search/?q=jrbp Croton setigerus,SPEC,,274,,
*Euphorbia lathyris,CAPER SPURGE,,http://www.flickr.com/search/?q=jrbp Euphorbia lathyris,SPEC,"Proximal lvs opposite, distal cauline lvs opposite or whorled, lf margin entire (vs E. oblongata)",825,,
* Euphorbia maculata (Chamaesyce m.),SPOTTED SPURGE,,http://www.flickr.com/search/?q=jrbp Chamaesyce maculata,SPEC,,812,,
*Euphorbia oblongata,EGGLEAF SPURGE,,http://www.flickr.com/search/?q=jrbp Euphorbia oblongata,SPEC,"First reported in 2009. Proximal leaves alt., lf margin finely to coarsely toothed (vs E. lathyris)",xxx,,
*Euphorbia peplus,PETTY SPURGE,,http://www.flickr.com/search/?q=jrbp Euphorbia peplus,SPEC,Lf margin entire (vs. E. spathulata),276,,
Euphorbia serpyllifolia ssp. s. (Chamaesyce s. ssp. s.),THYME-LEAFED SPURGE,,http://www.flickr.com/search/?q=jrbp Chamaesyce serpyllifolia,SPEC,Collected in 1906 and 1959 “bottom of small draw”; not reported since,273,,
Euphorbia spathulata,WARTY SPURGE,,http://www.flickr.com/search/?q=jrbp Euphorbia spathulata,SPEC,Lf margin finely toothed (vs. E. peplus),277,,
FABACEAE – LEGUME FAMILY,,,,,,,,
*Acacia dealbata,SILVER WATTLE,,http://www.flickr.com/search/?q=jrbp Acacia dealbata,SPEC,,811,,
*Acacia melanoxylon,BLACKWOOD ACACIA,,http://www.flickr.com/search/?q=jrbp Acacia melanoxylon,SPEC,,856,,
Acmispon americanus var. americanus (Lotus purshianus var. p.),SPANISH CLOVER,,http://www.flickr.com/search/?q=jrbp Acmispon americanus,SPEC,Corolla ± pink; calyx lobes >> tube (vs. A. parviflorus),291,,
Acmispon brachycarpus (Lotus humistratus),SHORT-PODDED TREFOIL,,http://www.flickr.com/search/?q=jrbp Acmispon brachycarpus,SPEC,"Corolla yellow; peduncle << 1 cm; calyx lobes 1–2 × tube; fr gen 3–4 mm wide; plant generally with soft, spreading hairs.",289,,
Acmispon glaber var. glaber (Lotus scoparius var. s.),"DEERWEED, CALIFORNIA BROOM",,http://www.flickr.com/search/?q=jrbp Acmispon glaber,SPEC,,292,,
Acmispon parviflorus (Lotus micranthus),SMALL-FLOWERED TREFOIL,,http://www.flickr.com/search/?q=jrbp Acmispon parviflorus,SPEC,"Corolla pink or salmon, quickly fading; calyx lobes ± < or = tube",290,,
"Acmispon strigosus
 (Lotus s.)",STRIGOSE TREFOIL,,http://www.flickr.com/search/?q=jrbp Acmispon strigosus,SPEC,"Collected 1903-1983 near Goya Gate and SE side of Searsville Lake; not reported since. Corolla yellow; fls 1 per leaf axil; peduncle generally > 1 cm; st prostrate, often mat-forming; leaf axis flat",293,,
Acmispon wrangelianus (Lotus w.),CHILE TREFOIL,,http://www.flickr.com/search/?q=jrbp Acmispon wrangelianus,SPEC,Corolla yellow; peduncle << 1 cm; calyx lobes ± 0.8–1.2 × tube; fr gen 2.3–3 mm wide; plant ± w/ appressed hairs,294,,
Astragalus gambelianus,"GAMBEL MILKVETCH, LITTLE BLUE LOCO",,http://www.flickr.com/search/?q=jrbp Astragalus gambelianus,SPEC,,280,,
*Genista monspessulana,FRENCH BROOM,,http://www.flickr.com/search/?q=jrbp Genista monspessulana,SPEC,Introduced on Preserve 1962-1972,282,,
Glycyrrhiza lepidota,WILD LICORICE,,http://www.flickr.com/search/?q=jrbp Glycyrrhiza lepidota,SPEC,,283,,
*Lathyrus latifolius,PERENNIAL SWEET PEA,,http://www.flickr.com/search/?q=jrbp Lathyrus latifolius,SPEC,,284,,
Lathyrus vestitus var. vestitus,COMMON PACIFIC PEA,,http://www.flickr.com/search/?q=jrbp Lathyrus vestitus,SPEC,Style tip w/ toothbrush hairs (vs. Vicia americana),287,,
*Lotus corniculatus,BIRD'S-FOOT TREFOIL,,http://www.flickr.com/search/?q=jrbp Lotus corniculatus,SPEC,,288,,
Lupinus affinis,AFFINIS LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus affinis,SPEC,Like L. nanus but w/ tooth on keel and usu > robust w/ broader lflts,295,,
Lupinus bicolor,MINIATURE LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus bicolor,SPEC,Banner longer than wide (vs. L. nanus). Springer 1935 “Infrequent.”,296,,
Lupinus formosus var. formosus,LATE LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus formosus,SPEC,Springer 1935 “Infrequent”; still is,297,,
Lupinus latifolius var. latifolius,BROAD-LEAVED LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus latifolius,SPEC,,298,,
Lupinus luteolus,BUTTER LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus luteolus,SPEC,Collected in 1958 “2 plants on sandbar along Corte Madera Cr”; not reported since,299,,
Lupinus microcarpus var. densiflorus,CHICK LUPINE,,,REP,Springer 1935 “abundant in a single location on grassy hillside in ravine”; Dengler [Notebook] 11/11/62 “to 2 in. above cotyledon leaves above fence C.M.F.”,300,,
Lupinus nanus,VALLEY SKY LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus nanus,SPEC,"Banner as wide or wider than long (vs. L. bicolor). Like L. affinis but w/o tooth on keel. Springer 1935 “most common lupine on the ridge, nowhere really abundant, Mar-Apr”.",301,,
Lupinus succulentus,ARROYO LUPINE,,http://www.flickr.com/search/?q=jrbp Lupinus succulentus,SPEC,Lower and upper keel margins ciliate near claw (vs. L. affinus). Springer 1935 “Rare (only one plant found)”,302,,
*Medicago arabica,"BURCLOVER, SPOTTED BURCLOVER",,http://www.flickr.com/search/?q=jrbp Medicago arabica,SPEC,Leaflets usu w/ conspicuous reddish-purple spot,303,,
*Medicago lupulina,BLACK MEDICK,,http://www.flickr.com/search/?q=jrbp Medicago lupulina,SPEC,"Fr 1-seeded, reniform, not spirally coiled except at tip, not prickly, black; flower 2–3 mm",304,,
*Medicago polymorpha,CALIFORNIA BURCLOVER,,http://www.flickr.com/search/?q=jrbp Medicago polymorpha,SPEC,,305,,
*Medicago sativa,ALFALFA,,,DOC,"Springer 1935 “infrequent”; Herbarium report 2000, Rd C bridge",306,,
*Melilotus albus (M. alba),WHITE SWEETCLOVER,,http://www.flickr.com/search/?q=jrbp Melilotus albus,SPEC,,307,,
"*Melilotus indicus
 (M. indica)",SOURCLOVER,,http://www.flickr.com/search/?q=jrbp Melilotus indicus,SPEC,,308,,
Pickeringia montana var. montana,CHAPARRAL PEA,,http://www.flickr.com/search/?q=jrbp Pickeringia,SPEC,,309,,
*Robinia pseudoacacia,BLACK LOCUST,,http://www.flickr.com/search/?q=jrbp Robinia pseudoacacia,SPEC,,311,,
Rupertia physodes,CALIFORNIA TEA,,http://www.flickr.com/search/?q=jrbp Rupertia,SPEC,,312,,
*Spartium junceum,SPANISH BROOM,,http://www.flickr.com/search/?q=jrbp Spartium junceum,SPEC,Dengler 1975; collected in SF Cr 6/3/2009; Corte Madera Cr Delta in 2014,313,,
Trifolium albopurpureum (T. albopurpureum var. a.),RANCHERIA CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium albopurpureum,SPEC,Trifolium Guide,314,,
*Trifolium arvense,RABBITFOOT CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium arvense,SPEC,Trifolium Guide,869,,
Trifolium barbigerum (T. barbigerum var. b.),BEARDED CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium barbigerum,SPEC,Trifolium Guide,316,,
Trifolium bifidum var. bifidum,PINOLE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium bifidum,SPEC,Trifolium Guide,317,,
Trifolium bifidum var. decipiens,DECEPTIVE CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium bifidum decipiens,SPEC,Trifolium Guide,318,,
*Trifolium campestre,HOP CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium campestre,SPEC,Trifolium Guide,319,,
*Trifolium cernuum,NODDING CLOVER,,http://www.flickr.com/search/?q=jrbp Trifolium cernuum,SPEC,Trifolium Guide,925,,
